CAI;Производитель;Модель;Ширина (мм);;;;;;;;;;;
AB400U;Antares;Ingens A1;235;45;ZR17;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens_A1/src/big_0.png;8;5 460;5 050
AB5044;Antares;Ingens A1;245;50;R18;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens_A1/src/big_0.png;17;12 950;11 990
AB533U;Antares;Ingens A1;245;50;ZR18;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens_A1/src/big_0.png;5;7 290;6 750
AB604U;Antares;Ingens A1;255;50;R19;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens_A1/src/big_0.png;1;7 830;7 250
AB517U;Antares;Ingens A1;255;45;ZR18;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens_A1/src/big_0.png;7;7 480;6 921
AB510U;Antares;Ingens A1;255;35;ZR18;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens_A1/src/big_0.png;1;7 240;6 699
AB6011U;Antares;Ingens A1;255;45;ZR19;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens_A1/src/big_0.png;2;8 210;7 599
AB601U;Antares;Ingens A1;285;45;ZR19;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens_A1/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens_A1/src/big_0.png;1;10 250;9 490
AB3340;Antares;Ingens EV;205;55;R16;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens_EV/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens_EV/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens_EV/src/big_0.png;4;3 930;3 630
AB4315;Antares;Ingens EV;215;55;R17;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens_EV/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens_EV/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens_EV/src/big_0.png;4;5 350;4 950
AB4307;Antares;Ingens EV;225;55;R17;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens_EV/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens_EV/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens_EV/src/big_0.png;7;5 710;5 280
AB4310;Antares;Ingens EV;225;45;ZR17;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens_EV/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens_EV/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens_EV/src/big_0.png;1;5 050;4 670
AB5171;Antares;Ingens EV;225;40;ZR18;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens_EV/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens_EV/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens_EV/src/big_0.png;15;5 560;5 146
AB5170;Antares;Ingens EV;225;45;ZR18;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens_EV/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens_EV/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens_EV/src/big_0.png;1;5 350;4 950
AB6118;Antares;Ingens-Locus;225;40;ZR19;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_0.png;31;6 250;5 780
AB6117;Antares;Ingens-Locus;225;45;ZR19;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_0.png;10;6 460;5 980
AB4298;Antares;Ingens-Locus;235;50;ZR17;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/AB4298.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/AB4298.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_AB4298.png;6;7 010;6 490
AB5144;Antares;Ingens-Locus;235;40;ZR18;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_0.png;1;5 600;5 180
AB5143;Antares;Ingens-Locus;235;45;ZR18;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_0.png;более 40;5 840;5 399
AB6089;Antares;Ingens-Locus;235;35;ZR19;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_0.png;6;7 430;6 877
AB6124;Antares;Ingens-Locus;235;40;ZR19;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_0.png;40;8 300;7 682
AB5159;Antares;Ingens-Locus;245;45;ZR18;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_0.png;4;6 270;5 799
AB5156;Antares;Ingens-Locus;245;40;ZR18;Летняя;Легковая;;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/small/0.png;https://4tochki.ru/pictures/tyres/Antares/Ingens-Locus/big/0.png;https://api-b2b.pwrs.ru/5008/pictures/tyres/Antares/Ingens-Locus/src/big_0.png;12;6 000;5 550
